ensembl	gene_name
ENSG00000180316	PNPLA1
ENSG00000180318	ALX1
ENSG00000180329	CCDC43
ENSG00000180332	KCTD4
ENSG00000180340	FZD2
ENSG00000180346	TIGD2
ENSG00000180347	CCDC129
ENSG00000077348	EXOSC5
ENSG00000180353	HCLS1
ENSG00000180354	MTURN
ENSG00000180357	ZNF609
ENSG00000180376	CCDC66
ENSG00000180398	MCFD2
ENSG00000180423	HARBI1
ENSG00000077380	DYNC1I2
ENSG00000180440	SERTM1
ENSG00000180447	GAS1
ENSG00000180448	ARHGAP45
ENSG00000180481	GLIPR1L2
ENSG00000180488	MIGA1
ENSG00000180530	NRIP1
ENSG00000077420	APBB1IP
ENSG00000180535	BHLHA15
ENSG00000180537	RNF182
ENSG00000180549	FUT7
ENSG00000180611	MB21D2
ENSG00000180613	GSX2
ENSG00000180616	SSTR2
ENSG00000180628	PCGF5
ENSG00000180638	SLC47A2
ENSG00000180667	YOD1
ENSG00000180694	TMEM64
ENSG00000180730	SHISA2
ENSG00000180739	S1PR5
ENSG00000077458	FAM76B
ENSG00000180745	CLRN3
ENSG00000180758	GPR157
ENSG00000180767	CHST13
ENSG00000180772	AGTR2
ENSG00000180773	SLC36A4
ENSG00000180776	ZDHHC20
ENSG00000180785	OR51E1
ENSG00000180801	ARSJ
ENSG00000077463	SIRT6
ENSG00000180828	BHLHE22
ENSG00000180834	MAP6D1
ENSG00000180875	GREM2
ENSG00000180878	C11orf42
ENSG00000077498	TYR
ENSG00000180881	CAPS2
ENSG00000180891	CUEDC1
ENSG00000180900	SCRIB
ENSG00000180901	KCTD2
ENSG00000180902	D2HGDH
ENSG00000180914	OXTR
ENSG00000180917	CMTR2
ENSG00000180921	FAM83H
ENSG00000180929	GPR62
ENSG00000077514	POLD3
ENSG00000180953	ST20
ENSG00000180974	OR52E4
ENSG00000180992	MRPL14
ENSG00000180998	GPR137C
ENSG00000077522	ACTN2
ENSG00000181004	BBS12
ENSG00000181016	LSMEM1
ENSG00000181019	NQO1
ENSG00000181027	FKRP
ENSG00000181029	TRAPPC5
ENSG00000077549	CAPZB
ENSG00000181031	RPH3AL
ENSG00000181035	SLC25A42
ENSG00000181036	FCRL6
ENSG00000181045	SLC26A11
ENSG00000181072	CHRM2
ENSG00000181085	MAPK15
ENSG00000181090	EHMT1
ENSG00000181092	ADIPOQ
ENSG00000181104	F2R
ENSG00000181143	MUC16
ENSG00000181195	PENK
ENSG00000181215	C4orf50
ENSG00000181220	ZNF746
ENSG00000181222	POLR2A
ENSG00000077616	NAALAD2
ENSG00000181234	TMEM132C
ENSG00000181240	SLC25A41
ENSG00000181264	TMEM136
ENSG00000181284	TMEM102
ENSG00000181291	TMEM132E
ENSG00000181322	NME9
ENSG00000181333	HEPHL1
ENSG00000181350	LRRC75A
ENSG00000077684	JADE1
ENSG00000181355	OFCC1
ENSG00000181378	CFAP65
ENSG00000181396	OGFOD3
ENSG00000181409	AATK
ENSG00000181444	ZNF467
ENSG00000077713	SLC25A43
ENSG00000181449	SOX2
ENSG00000181467	RAP2B
ENSG00000181472	ZBTB2
ENSG00000181513	ACBD4
ENSG00000181523	SGSH
ENSG00000077721	UBE2A
ENSG00000181541	MAB21L2
ENSG00000181544	FANCB
ENSG00000181555	SETD2
ENSG00000181585	TMIE
ENSG00000181588	MEX3D
ENSG00000077782	FGFR1
ENSG00000181619	GPR135
ENSG00000181631	P2RY13
ENSG00000181634	TNFSF15
ENSG00000181652	ATG9B
ENSG00000181656	GPR88
ENSG00000181690	PLAG1
ENSG00000181704	YIPF6
ENSG00000181722	ZBTB20
ENSG00000181744	C3orf58
ENSG00000181751	C5orf30
ENSG00000181754	AMIGO1
ENSG00000181778	TMEM252
ENSG00000181781	ODF3L2
ENSG00000181785	OR5AS1
ENSG00000077935	SMC1B
ENSG00000181788	SIAH2
ENSG00000181803	OR6S1
ENSG00000181804	SLC9A9
ENSG00000181817	LSM10
ENSG00000181826	RELL1
ENSG00000181827	RFX7
ENSG00000181830	SLC35C1
ENSG00000006555	TTC22
ENSG00000077942	FBLN1
ENSG00000181847	TIGIT
ENSG00000181856	SLC2A4
ENSG00000181873	IBA57
ENSG00000181885	CLDN7
ENSG00000181904	C5orf24
ENSG00000181915	ADO
ENSG00000181927	OR4P4
ENSG00000077943	ITGA8
ENSG00000181929	PRKAG1
ENSG00000181965	NEUROG1
ENSG00000181982	CCDC149
ENSG00000182010	RTKN2
ENSG00000182022	CHST15
ENSG00000077984	CST7
ENSG00000182040	USH1G
ENSG00000182050	MGAT4C
ENSG00000182054	IDH2
ENSG00000182087	TMEM259
ENSG00000182107	TMEM30B
ENSG00000078018	MAP2
ENSG00000182108	DEXI
ENSG00000182118	FAM89A
ENSG00000182132	KCNIP1
ENSG00000182134	TDRKH
ENSG00000182149	IST1
ENSG00000182150	ERCC6L2
ENSG00000182156	ENPP7
ENSG00000182158	CREB3L2
ENSG00000182162	P2RY8
ENSG00000182168	UNC5C
ENSG00000182173	TSEN54
ENSG00000182175	RGMA
ENSG00000182179	UBA7
ENSG00000182185	RAD51B
ENSG00000182197	EXT1
ENSG00000182208	MOB2
ENSG00000182218	HHIPL1
ENSG00000182240	BACE2
ENSG00000182247	UBE2E2
ENSG00000182253	SYNM
ENSG00000078061	ARAF
ENSG00000182255	KCNA4
ENSG00000182261	NLRP10
ENSG00000182263	FIGN
ENSG00000182271	TMIGD1
ENSG00000078070	MCCC1
ENSG00000182327	GLTPD2
ENSG00000182348	ZNF804B
ENSG00000078081	LAMP3
ENSG00000182359	KBTBD3
ENSG00000182362	YBEY
ENSG00000182379	NXPH4
ENSG00000078098	FAP
ENSG00000182447	OTOL1
ENSG00000182450	KCNK4
ENSG00000182463	TSHZ2
ENSG00000182472	CAPN12
ENSG00000182489	XKRX
ENSG00000182508	LHFPL1
ENSG00000006576	PHTF2
ENSG00000078114	NEBL
ENSG00000182511	FES
ENSG00000182521	TBPL2
ENSG00000182533	CAV3
ENSG00000182541	LIMK2
ENSG00000182544	MFSD5
ENSG00000182551	ADI1
ENSG00000078124	ACER3
ENSG00000182566	CLEC4G
ENSG00000182575	NXPH3
ENSG00000182578	CSF1R
ENSG00000182580	EPHB3
ENSG00000182584	ACTL10
ENSG00000182585	EPGN
ENSG00000078140	UBE2K
ENSG00000182601	HS3ST4
ENSG00000182606	TRAK1
ENSG00000182612	TSPAN10
ENSG00000182621	PLCB1
ENSG00000182628	SKA2
ENSG00000182631	RXFP3
ENSG00000182645	CCDC172
ENSG00000078142	PIK3C3
ENSG00000182667	NTM
ENSG00000182670	TTC3
ENSG00000182674	KCNB2
ENSG00000182685	BRICD5
ENSG00000182704	TSKU
ENSG00000182732	RGS6
ENSG00000182742	HOXB4
ENSG00000182747	SLC35D3
ENSG00000182749	PAQR7
ENSG00000182752	PAPPA
ENSG00000182759	MAFA
ENSG00000182771	GRID1
ENSG00000078237	TIGAR
ENSG00000182791	CCDC87
ENSG00000182795	C1orf116
ENSG00000182810	DDX28
ENSG00000182827	ACBD3
ENSG00000182836	PLCXD3
ENSG00000182853	VMO1
ENSG00000078246	TULP3
ENSG00000182866	LCK
ENSG00000182870	GALNT9
ENSG00000182872	RBM10
ENSG00000182885	ADGRG3
ENSG00000182898	TCHHL1
ENSG00000182901	RGS7
ENSG00000078269	SYNJ2
ENSG00000182902	SLC25A18
ENSG00000182919	C11orf54
ENSG00000182923	CEP63
ENSG00000182938	OTOP3
ENSG00000182950	ODF3L1
ENSG00000182963	GJC1
ENSG00000182968	SOX1
ENSG00000182973	CNOT10
ENSG00000182979	MTA1
ENSG00000182985	CADM1
ENSG00000183010	PYCR1
ENSG00000183011	NAA38
ENSG00000078304	PPP2R5C
ENSG00000183032	SLC25A21
ENSG00000183036	PCP4
ENSG00000183044	ABAT
ENSG00000183049	CAMK1D
ENSG00000078328	RBFOX1
ENSG00000183060	LYSMD4
ENSG00000183066	WBP2NL
ENSG00000183072	NKX2-5
ENSG00000183077	AFMID
ENSG00000183087	GAS6
ENSG00000183090	FREM3
ENSG00000183092	BEGAIN
ENSG00000183114	FAM43B
ENSG00000183117	CSMD1
ENSG00000183128	CALHM3
ENSG00000183134	PTGDR2
ENSG00000183137	CEP57L1
ENSG00000183161	FANCF
ENSG00000183185	GABRR3
ENSG00000183186	C2CD4C
ENSG00000078401	EDN1
ENSG00000183248	PRR36
ENSG00000183258	DDX41
ENSG00000183260	ABHD16B
ENSG00000183273	CCDC60
ENSG00000183287	CCBE1
ENSG00000078403	MLLT10
ENSG00000183309	ZNF623
ENSG00000183323	CCDC125
ENSG00000183324	REC114
ENSG00000183337	BCOR
ENSG00000183340	JRKL
ENSG00000183346	CABCOCO1
ENSG00000183378	OVCH2
ENSG00000183379	SYNDIG1L
ENSG00000183386	FHL3
ENSG00000183395	PMCH
ENSG00000183396	TMEM89
ENSG00000183397	C19orf71
ENSG00000183401	CCDC159
ENSG00000183421	RIPK4
ENSG00000078549	ADCYAP1R1
ENSG00000183423	LRIT3
ENSG00000183454	GRIN2A
ENSG00000183463	URAD
ENSG00000183475	ASB7
ENSG00000183476	SH2D7
ENSG00000183484	GPR132
ENSG00000078579	FGF20
ENSG00000183496	MEX3B
ENSG00000183508	FAM46C
ENSG00000183513	COA5
ENSG00000183520	UTP11
ENSG00000183527	PSMG1
ENSG00000183530	PRR14L
ENSG00000183549	ACSM5
ENSG00000183559	C10orf120
ENSG00000183560	IZUMO1R
ENSG00000183570	PCBP3
ENSG00000078589	P2RY10
ENSG00000183571	PGPEP1L
ENSG00000183579	ZNRF3
ENSG00000183580	FBXL7
ENSG00000183607	GKN2
ENSG00000183615	FAM167B
ENSG00000183617	MRPL54
ENSG00000078596	ITM2A
ENSG00000183621	ZNF438
ENSG00000183624	HMCES
ENSG00000183625	CCR3
ENSG00000183638	RP1L1
ENSG00000183644	C11orf88
ENSG00000183654	MARCH11
ENSG00000183655	KLHL25
ENSG00000078618	NRDC
ENSG00000183662	FAM19A1
ENSG00000183671	GPR1
ENSG00000183688	RFLNB
ENSG00000183690	EFHC2
ENSG00000183691	NOG
ENSG00000183715	OPCML
ENSG00000183723	CMTM4
ENSG00000183726	TMEM50A
ENSG00000183729	NPBWR1
ENSG00000183741	CBX6
ENSG00000183742	MACC1
ENSG00000183751	TBL3
ENSG00000183760	ACP7
ENSG00000183762	KREMEN1
ENSG00000183763	TRAIP
ENSG00000183765	CHEK2
ENSG00000183770	FOXL2
ENSG00000183775	KCTD16
ENSG00000183778	B3GALT5
ENSG00000183779	ZNF703
ENSG00000183780	SLC35F3
ENSG00000183785	TUBA8
ENSG00000183798	EMILIN3
ENSG00000078687	TNRC6C
ENSG00000183801	OLFML1
ENSG00000183813	CCR4
ENSG00000183831	ANKRD45
ENSG00000183833	MAATS1
ENSG00000078699	CBFA2T2
ENSG00000183844	FAM3B
ENSG00000183856	IQGAP3
ENSG00000183864	TOB2
ENSG00000183873	SCN5A
ENSG00000183876	ARSI
ENSG00000183908	LRRC55
ENSG00000078725	BRINP1
ENSG00000183914	DNAH2
ENSG00000183918	SH2D1A
ENSG00000183921	SDR42E2
ENSG00000183943	PRKX
ENSG00000183960	KCNH8
ENSG00000183977	PP2D1
ENSG00000183979	NPB
ENSG00000078747	ITCH
ENSG00000184005	ST6GALNAC3
ENSG00000184012	TMPRSS2
ENSG00000184014	DENND5A
ENSG00000184056	VPS33B
ENSG00000184058	TBX1
ENSG00000184060	ADAP2
ENSG00000184083	FAM120C
ENSG00000078795	PKD2L2
ENSG00000184117	NIPSNAP1
ENSG00000184144	CNTN2
ENSG00000184154	LRTOMT
ENSG00000184156	KCNQ3
ENSG00000184160	ADRA2C
ENSG00000184162	NR2C2AP
ENSG00000078804	TP53INP2
ENSG00000184164	CRELD2
ENSG00000184194	GPR173
ENSG00000184209	SNRNP35
ENSG00000184210	DGAT2L6
ENSG00000078808	SDF4
ENSG00000184216	IRAK1
ENSG00000184220	CMSS1
ENSG00000184221	OLIG1
ENSG00000184226	PCDH9
ENSG00000184232	OAF
ENSG00000184254	ALDH1A3
ENSG00000184260	HIST2H2AC
ENSG00000184261	KCNK12
ENSG00000184270	HIST2H2AB
ENSG00000001561	ENPP4
ENSG00000006611	USH1C
ENSG00000078814	MYH7B
ENSG00000184271	POU6F1
ENSG00000184277	TM2D3
ENSG00000184281	TSSC4
ENSG00000184292	TACSTD2
ENSG00000184302	SIX6
ENSG00000184304	PRKD1
ENSG00000184307	ZDHHC23
ENSG00000078898	BPIFB2
ENSG00000184347	SLIT3
ENSG00000184349	EFNA5
ENSG00000184368	MAP7D2
ENSG00000184371	CSF1
ENSG00000078900	TP73
ENSG00000184374	COLEC10
ENSG00000184378	ACTRT3
ENSG00000184381	PLA2G6
ENSG00000184384	MAML2
ENSG00000184402	SS18L1
ENSG00000184432	COPB2
ENSG00000184434	LRRC19
ENSG00000078902	TOLLIP
ENSG00000184445	KNTC1
ENSG00000184451	CCR10
ENSG00000184454	NCMAP
ENSG00000184459	BPIFC
ENSG00000184465	WDR27
ENSG00000184470	TXNRD2
ENSG00000184481	FOXO4
ENSG00000184486	POU3F2
ENSG00000184489	PTP4A3
ENSG00000078967	UBE2D4
ENSG00000184497	TMEM255B
ENSG00000184502	GAST
ENSG00000184507	NUTM1
ENSG00000184508	HDDC3
ENSG00000184544	DHRS7C
ENSG00000079101	CLUL1
ENSG00000184545	DUSP8
ENSG00000184557	SOCS3
ENSG00000184564	SLITRK6
ENSG00000184574	LPAR5
ENSG00000184575	XPOT
ENSG00000184584	TMEM173
ENSG00000184588	PDE4B
ENSG00000184599	FAM19A3
ENSG00000079102	RUNX1T1
ENSG00000184601	C14orf180
ENSG00000184602	SNN
ENSG00000184611	KCNH7
ENSG00000184613	NELL2
ENSG00000184634	MED12
ENSG00000184640	SEPT9
ENSG00000079112	CDH17
ENSG00000184675	AMER1
ENSG00000184677	ZBTB40
ENSG00000184697	CLDN6
ENSG00000184709	LRRC26
ENSG00000184716	SERINC4
ENSG00000184731	FAM110C
ENSG00000184743	ATL3
ENSG00000184752	NDUFA12
ENSG00000184787	UBE2G2
ENSG00000184788	SATL1
ENSG00000184792	OSBP2
ENSG00000184811	TUSC5
ENSG00000079150	FKBP7
ENSG00000184838	PRR16
ENSG00000184840	TMED9
ENSG00000184845	DRD1
ENSG00000184860	SDR42E1
ENSG00000184863	RBM33
ENSG00000184887	BTBD6
ENSG00000079156	OSBPL6
ENSG00000184897	H1FX
ENSG00000184898	RBM43
ENSG00000184903	IMMP2L
ENSG00000184916	JAG2
ENSG00000184922	FMNL1
ENSG00000184924	PTRHD1
ENSG00000184937	WT1
ENSG00000079215	SLC1A3
ENSG00000184967	NOC4L
ENSG00000184983	NDUFA6
ENSG00000184984	CHRM5
ENSG00000184985	SORCS2
ENSG00000184986	TMEM121
ENSG00000184988	TMEM106A
ENSG00000184990	SIVA1
ENSG00000079246	XRCC5
ENSG00000185000	DGAT1
ENSG00000185002	RFX6
ENSG00000185009	AP3M1
ENSG00000185010	F8
ENSG00000185015	CA13
ENSG00000185019	UBOX5
ENSG00000185022	MAFF
ENSG00000079257	LXN
ENSG00000185024	BRF1
ENSG00000185028	LRRC14B
ENSG00000185033	SEMA4B
ENSG00000185049	NELFA
ENSG00000185052	SLC24A3
ENSG00000185053	SGCZ
ENSG00000185055	EFCAB10
ENSG00000079277	MKNK1
ENSG00000185070	FLRT2
ENSG00000185085	INTS5
ENSG00000185090	MANEAL
ENSG00000185100	ADSSL1
ENSG00000185104	FAF1
ENSG00000185105	MYADML2
ENSG00000079308	TNS1
ENSG00000185122	HSF1
ENSG00000185129	PURA
ENSG00000185133	INPP5J
ENSG00000185149	NPY2R
ENSG00000185156	MFSD6L
ENSG00000185163	DDX51
ENSG00000185189	NRBP2
ENSG00000185198	PRSS57
ENSG00000185215	TNFAIP2
ENSG00000185231	MC2R
ENSG00000185236	RAB11B
ENSG00000185238	PRMT3
ENSG00000185246	PRPF39
ENSG00000185250	PPIL6
ENSG00000185262	UBALD2
ENSG00000185264	TEX33
ENSG00000185267	CDNF
ENSG00000185269	NOTUM
ENSG00000185271	KLHL33
ENSG00000185274	GALNT17
ENSG00000079335	CDC14A
ENSG00000185278	ZBTB37
ENSG00000185290	NUPR2
ENSG00000185298	CCDC137
ENSG00000185305	ARL15
ENSG00000185313	SCN10A
ENSG00000185324	CDK10
ENSG00000185338	SOCS1
ENSG00000185339	TCN2
ENSG00000185340	GAS2L1
ENSG00000185344	ATP6V0A2
ENSG00000185347	TEDC1
ENSG00000185359	HGS
ENSG00000185361	TNFAIP8L1
ENSG00000185379	RAD51D
ENSG00000185386	MAPK11
ENSG00000185418	TARSL2
ENSG00000185436	IFNLR1
ENSG00000185442	FAM174B
ENSG00000185453	ZSWIM9
ENSG00000185475	TMEM179B
ENSG00000185480	PARPBP
ENSG00000185483	ROR1
ENSG00000185499	MUC1
ENSG00000185504	FAAP100
ENSG00000185513	L3MBTL1
ENSG00000079432	CIC
ENSG00000185522	LMNTD2
ENSG00000185527	PDE6G
ENSG00000185551	NR2F2
ENSG00000185559	DLK1
ENSG00000185561	TLCD2
ENSG00000185565	LSAMP
ENSG00000185585	OLFML2A
ENSG00000185610	DBX2
ENSG00000185614	FAM212A
ENSG00000185615	PDIA2
ENSG00000185621	LMLN
ENSG00000185624	P4HB
ENSG00000185627	PSMD13
ENSG00000079459	FDFT1
ENSG00000185630	PBX1
ENSG00000185634	SHC4
ENSG00000185650	ZFP36L1
ENSG00000185652	NTF3
ENSG00000185658	BRWD1
ENSG00000185668	POU3F1
ENSG00000185669	SNAI3
ENSG00000185681	MORN5
ENSG00000185689	C6orf201
ENSG00000185697	MYBL1
ENSG00000185716	C16orf52
ENSG00000185721	DRG1
ENSG00000079482	OPHN1
ENSG00000185722	ANKFY1
ENSG00000185728	YTHDF3
ENSG00000185737	NRG3
ENSG00000185739	SRL
ENSG00000185753	CXorf38
ENSG00000185760	KCNQ5
ENSG00000079557	AFM
ENSG00000185774	KCNIP4
ENSG00000185798	WDR53
ENSG00000185811	IKZF1
ENSG00000185813	PCYT2
ENSG00000185818	NAT8L
ENSG00000185838	GNB1L
ENSG00000185860	CCDC190
ENSG00000185873	TMPRSS11B
ENSG00000185875	THNSL1
ENSG00000185880	TRIM69
ENSG00000079689	SCGN
ENSG00000185888	PRSS38
ENSG00000185896	LAMP1
ENSG00000185900	POMK
ENSG00000185905	C16orf54
ENSG00000185909	KLHDC8B
ENSG00000185915	KLHL34
ENSG00000185917	SETD4
ENSG00000185924	RTN4RL1
ENSG00000006638	TBXA2R
ENSG00000079691	CARMIL1
ENSG00000185933	CALHM1
ENSG00000185942	NKAIN3
ENSG00000185950	IRS2
ENSG00000185958	FAM186A
ENSG00000079739	PGM1
ENSG00000185963	BICD2
ENSG00000185973	TMLHE
ENSG00000185974	GRK1
ENSG00000185989	RASA3
ENSG00000186001	LRCH3
ENSG00000186007	LEMD1
ENSG00000079785	DDX1
ENSG00000186009	ATP4B
ENSG00000186047	DLEU7
ENSG00000186051	TAL2
ENSG00000186073	C15orf41
ENSG00000186075	ZPBP2
ENSG00000079805	DNM2
ENSG00000186081	KRT5
ENSG00000186088	GSAP
ENSG00000186094	AGBL4
ENSG00000186104	CYP2R1
ENSG00000186106	ANKRD46
ENSG00000186111	PIP5K1C
ENSG00000186118	TEX38
ENSG00000079819	EPB41L2
ENSG00000186130	ZBTB6
ENSG00000186132	C2orf76
ENSG00000186150	UBL4B
ENSG00000079841	RIMS1
ENSG00000186166	CCDC84
ENSG00000186174	BCL9L
ENSG00000186185	KIF18B
ENSG00000186188	FFAR4
ENSG00000186190	BPIFB3
ENSG00000186191	BPIFB4
ENSG00000186197	EDARADD
ENSG00000079931	MOXD1
ENSG00000186198	SLC51B
ENSG00000186212	SOWAHB
ENSG00000186231	KLHL32
ENSG00000186260	MKL2
ENSG00000186281	GPAT2
ENSG00000186283	TOR3A
ENSG00000186297	GABRA5
ENSG00000186298	PPP1CC
ENSG00000186306	OR10T2
ENSG00000186314	PRELID2
ENSG00000186318	BACE1
ENSG00000186326	RGS9BP
ENSG00000186329	TMEM212
ENSG00000186334	SLC36A3
ENSG00000186335	SLC36A2
ENSG00000186340	THBS2
ENSG00000186350	RXRA
ENSG00000186352	ANKRD37
ENSG00000186364	NUDT17
ENSG00000186367	KIAA1024L
ENSG00000186393	KRT26
ENSG00000186409	CCDC30
ENSG00000186416	NKRF
ENSG00000079999	KEAP1
ENSG00000186417	GLDN
ENSG00000186432	KPNA4
ENSG00000186439	TRDN
ENSG00000186479	RGS7BP
ENSG00000186487	MYT1L
ENSG00000080031	PTPRH
ENSG00000186496	ZNF396
ENSG00000186501	TMEM222
ENSG00000186517	ARHGAP30
ENSG00000186532	SMYD4
ENSG00000186564	FOXD2
ENSG00000186566	GPATCH8
ENSG00000186567	CEACAM19
ENSG00000186575	NF2
ENSG00000080166	DCT
ENSG00000186583	SPATC1
ENSG00000186591	UBE2H
ENSG00000186603	HPDL
ENSG00000186628	FSD2
ENSG00000186635	ARAP1
ENSG00000186638	KIF24
ENSG00000080189	SLC35C2
ENSG00000186665	C17orf58
ENSG00000186666	BCDIN3D
ENSG00000186684	CYP27C1
ENSG00000186687	LYRM7
ENSG00000186714	CCDC73
ENSG00000186732	MPPED1
ENSG00000186765	FSCN2
ENSG00000186790	FOXE3
ENSG00000186792	HYAL3
ENSG00000186806	VSIG10L
ENSG00000186812	ZNF397
ENSG00000080224	EPHA6
ENSG00000186815	TPCN1
ENSG00000186827	TNFRSF4
ENSG00000186834	HEXIM1
ENSG00000186838	SELENOV
ENSG00000186847	KRT14
ENSG00000186854	TRABD2A
ENSG00000186862	PDZD7
ENSG00000186866	POFUT2
ENSG00000080293	SCTR
ENSG00000186871	ERCC6L
ENSG00000186889	TMEM17
ENSG00000186891	TNFRSF18
ENSG00000186895	FGF3
ENSG00000186897	C1QL4
ENSG00000186908	ZDHHC17
ENSG00000080298	RFX3
ENSG00000186910	SERPINA11
ENSG00000186912	P2RY4
ENSG00000186918	ZNF395
ENSG00000186919	ZACN
ENSG00000186951	PPARA
ENSG00000186952	TMEM232
ENSG00000186976	EFCAB6
ENSG00000080345	RIF1
ENSG00000186994	KANK3
ENSG00000186998	EMID1
ENSG00000187017	ESPN
ENSG00000187021	PNLIPRP1
ENSG00000187024	PTRH1
ENSG00000187037	GPR141
ENSG00000187045	TMPRSS6
ENSG00000187054	TMPRSS11A
ENSG00000187068	C3orf70
ENSG00000187079	TEAD1
ENSG00000187097	ENTPD5
ENSG00000187098	MITF
ENSG00000080493	SLC4A4
ENSG00000187105	HEATR4
ENSG00000187122	SLIT1
ENSG00000187123	LYPD6
ENSG00000187135	VSTM2B
ENSG00000187151	ANGPTL5
ENSG00000080503	SMARCA2
ENSG00000187164	SHTN1
ENSG00000187231	SESTD1
ENSG00000187239	FNBP1
ENSG00000187240	DYNC2H1
ENSG00000187242	KRT12
ENSG00000080511	RDH8
ENSG00000187257	RSBN1L
ENSG00000187258	NPSR1
ENSG00000187260	WDR86
ENSG00000187266	EPOR
ENSG00000187323	DCC
ENSG00000080546	SESN1
ENSG00000187446	CHP1
ENSG00000187486	KCNJ11
ENSG00000187492	CDHR4
ENSG00000187498	COL4A1
ENSG00000187510	PLEKHG7
ENSG00000187513	GJA4
ENSG00000080561	MID2
ENSG00000187522	HSPA14
ENSG00000187527	ATP13A5
ENSG00000187531	SIRT7
ENSG00000187546	AGMO
ENSG00000187550	SBK2
ENSG00000187554	TLR5
ENSG00000187555	USP7
ENSG00000187556	NANOS3
ENSG00000187566	NHLRC1
ENSG00000187583	PLEKHN1
ENSG00000187595	ZNF385C
ENSG00000187605	TET3
ENSG00000080573	COL5A3
ENSG00000187616	MYMK
ENSG00000187634	SAMD11
ENSG00000187642	PERM1
ENSG00000187658	C5orf52
ENSG00000187664	HAPLN4
ENSG00000187672	ERC2
ENSG00000187676	B3GLCT
ENSG00000187678	SPRY4
ENSG00000187688	TRPV2
ENSG00000187695	AC112484.1
ENSG00000187699	C2orf88
ENSG00000187713	TMEM203
ENSG00000187714	SLC18A3
ENSG00000187715	KBTBD12
ENSG00000187720	THSD4
ENSG00000187726	DNAJB13
ENSG00000187730	GABRD
ENSG00000187736	NHEJ1
ENSG00000187741	FANCA
ENSG00000187742	SECISBP2
ENSG00000080618	CPB2
ENSG00000187747	OR52B6
ENSG00000187764	SEMA4D
ENSG00000187772	LIN28B
ENSG00000187773	FAM69C
ENSG00000187775	DNAH17
ENSG00000187778	MCRS1
ENSG00000187783	TMEM72
ENSG00000006695	COX10
ENSG00000080644	CHRNA3
ENSG00000187796	CARD9
ENSG00000187800	PEAR1
ENSG00000187806	TMEM202
ENSG00000187821	HELT
ENSG00000187824	TMEM220
ENSG00000187838	PLSCR3
ENSG00000187840	EIF4EBP1
ENSG00000187848	P2RX2
ENSG00000187860	CCDC157
ENSG00000187862	TTC24
ENSG00000187889	FYB2
ENSG00000080802	CNOT4
ENSG00000187905	LRRC74B
ENSG00000187908	DMBT1
ENSG00000187922	LCN10
ENSG00000187942	LDLRAD2
ENSG00000080815	PSEN1
ENSG00000187954	CYHR1
ENSG00000187955	COL14A1
ENSG00000187957	DNER
ENSG00000187959	CPSF4L
ENSG00000187980	PLA2G2C
ENSG00000187987	ZSCAN23
ENSG00000187994	RINL
ENSG00000188001	TPRG1
ENSG00000080819	CPOX
ENSG00000188010	MORN2
ENSG00000188026	RILPL1
ENSG00000188032	C19orf67
ENSG00000188042	ARL4C
ENSG00000080822	CLDND1
ENSG00000188064	WNT7B
ENSG00000188086	PRSS45
ENSG00000188089	PLA2G4E
ENSG00000188107	EYS
ENSG00000080823	MOK
ENSG00000188112	C6orf132
ENSG00000188133	TMEM215
ENSG00000188153	COL4A5
ENSG00000188157	AGRN
ENSG00000188158	NHS
ENSG00000188162	OTOG
ENSG00000188163	FAM166A
ENSG00000188177	ZC3H6
ENSG00000188186	LAMTOR4
ENSG00000188191	PRKAR1B
ENSG00000188215	DCUN1D3
ENSG00000080839	RBL1
ENSG00000188266	HYKK
ENSG00000188277	C15orf62
ENSG00000188282	RUFY4
ENSG00000188306	LRRIQ4
ENSG00000188315	C3orf62
ENSG00000188316	ENO4
ENSG00000188338	SLC38A3
ENSG00000188352	FOCAD
ENSG00000188368	PRR19
ENSG00000080854	IGSF9B
ENSG00000188385	JAKMIP3
ENSG00000188404	SELL
ENSG00000080986	NDC80
ENSG00000188452	CERKL
ENSG00000188467	SLC24A5
ENSG00000188483	IER5L
ENSG00000188487	INSC
ENSG00000188488	SERPINA5
ENSG00000188493	C19orf54
ENSG00000188501	LCTL
ENSG00000188505	NCCRP1
ENSG00000188508	KRTDAP
ENSG00000081014	AP4E1
ENSG00000188517	COL25A1
ENSG00000188522	FAM83G
ENSG00000188542	DUSP28
ENSG00000188554	NBR1
ENSG00000188559	RALGAPA2
ENSG00000188566	NDOR1
ENSG00000081019	RSBN1
ENSG00000188582	PAQR9
ENSG00000188613	NANOS1
ENSG00000188620	HMX3
ENSG00000081026	MAGI3
ENSG00000188643	S100A16
ENSG00000188676	IDO2
ENSG00000188687	SLC4A5
ENSG00000081051	AFP
ENSG00000188690	UROS
ENSG00000188706	ZDHHC9
ENSG00000188716	DUPD1
ENSG00000188729	OSTN
ENSG00000188730	VWC2
ENSG00000188732	FAM221A
ENSG00000188735	TMEM120B
ENSG00000081052	COL4A4
ENSG00000188739	RBM34
ENSG00000188747	NOXA1
ENSG00000188761	BCL2L15
ENSG00000188770	OPTC
ENSG00000188771	PLET1
ENSG00000188778	ADRB3
ENSG00000081059	TCF7
ENSG00000188779	SKOR1
ENSG00000188782	CATSPER4
ENSG00000188783	PRELP
ENSG00000188784	PLA2G2E
ENSG00000188800	TMCO2
ENSG00000188803	SHISA6
ENSG00000188807	TMEM201
